name;episodes;size;code;discount
"Aoki Hagane no Arpeggio; Ars Nova Movie 2 - Cadenza BD (Movie)";1;1.99;A1;0
Apocalypse Hotel;12;4.01;A4;0
Appare-Ranman! BD;13;5.8;A1;0
Appleseed Alpha BD (Movie);2;0.73;A1;0
Aquarion Evol;25;3.88;A1;0
Aquarion Logos;26;2.1;A1;0
"Aquarion Movie; Ippatsu Gyakuten-hen (Movie)";1;0.29;A1;0
"Ar Tonelico; Sekai no Owari de Utai Tsuzukeru Shoujo (OVA)";1;0.08;A1;0
Araburu Kisetsu no Otome-domo yo. BD;12;3.69;A1;0
"Araiya-san!; Ore to Aitsu ga Onnayu de!";8;0.82;A1;0
Arakawa Under the Bridge BD;13;1.83;A1;0
Arakawa Under the Bridge x Bridge BD;13;1.62;A1;0
"A-Rank Party wo Ridatsu shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu wo Mezasu.; Party Tokushuu! Clover";24;8.03;A4;0
Arashi no Yoru ni (Movie);1;2.45;A1;0
Arata Kangatari;12;3.66;A1;0
"Arata naru Sekai; World's Start Load End (OVA)";1;0.05;A1;0
Arcana Famiglia;12;0.92;A1;0
Arcane;9;6.07;A3;0
Arcane Season 2;9;5.42;A3;0
Area 88 (TV);12;0.69;A2;0
Area no Kishi;37;2.82;A1;0
"Arei no Kagami; Way to the Virgin Space (Movie)";1;0.26;A1;0
Argento Soma;26;1.87;A2;0
Argonavis from BanG Dream!;13;5.63;A1;0
"Argonavis Movie; Axia (Movie)";1;2.35;A4;0
"Argonavis Movie; Ryuusei no Obligato (Movie)";1;1.28;A4;0
Aria the Animation BD;13;2.12;A1;0
Aria the Avvenire BD;3;0.53;A1;0
Aria the Benedizione BD (Movie);1;0.98;A1;0
Aria the Crepuscolo BD (Movie);1;1.06;A1;0
Aria the Natural BD;27;4.94;A1;0
Aria the Origination BD;21;2.61;A1;0
Arifureta Shokugyou de Sekai Saikyou 2nd Season BD;15;5.23;A1;0
Arifureta Shokugyou de Sekai Saikyou BD;16;5.45;A1;0
Arifureta Shokugyou de Sekai Saikyou Season 3 BD;16;4.75;A4;0
Ark IX (OVA);1;0.02;A1;0
"Arknights; Reimei Zensou BD";8;3.75;A2;0
"Arknights; Rise from Ember";10;2.01;A4;0
"Arknights; Touin Kiro BD";8;1.8;A3;0
Armitage III;4;0.48;A3;0
"Armitage III; Dual-Matrix BD (Movie)";1;1.64;A3;0
Around 40 Otoko no Isekai Tsuuhan;13;4;A4;0
Ars no Kyojuu;12;3.01;A2;0
Arslan Senki BD;25;8.24;A1;0
"Arslan Senki; Fuujin Ranbu BD";8;3.16;A1;0
Arte BD;12;3.46;A1;0
Artiswitch;6;0.63;A1;0
Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei;12;0.65;A2;0
Aru Hi Inu no Kuni kara Tegami ga Kite (OVA);1;0.05;A1;0
Aru Majo ga Shinu Made BD;12;4.66;A4;0
Aru Zombie Shoujo no Sainan (ONA);1;0.39;A1;0
Asa made Jugyou Chu! BD (OVA);1;0.2;A1;0
Asagao to Kase-san. (OVA);1;0.15;A1;0
"Asatir; Mirai no Mukashi Banashi";13;2.29;A1;0
Asatte no Houkou.;12;0.71;A1;0
Ashita no Nadja;50;4.02;A2;0
Ashita Sekai ga Owaru toshitemo BD (Movie);1;0.91;A1;0
Asobi Asobase BD;14;5.48;A1;0
Asobi ni Iku yo! BD;13;2;A1;0
Assassins Pride BD;12;4.8;A1;0
"Assault Lily; Bouquet BD";12;5.29;A1;0
"Assault Lily; Fruits";13;0.42;A1;0
Astarotte no Omocha! BD;13;3.02;A1;0
"Astro Boy; Tetsuwan Atom";50;4.17;A1;0
Astro Note;12;4.49;A3;0
Asu no Yoichi!;12;0.84;A1;0
Asura BD (Movie);1;1.72;A4;0
Asura Cryin';13;0.75;A1;0
Asura Cryin' 2;13;1.06;A1;0
Atarashii Joushi wa Do Tennen;12;2.97;A3;0
"Atasha Kawashiri Kodama da yo; Dangerous Lifehacker no Tadareta Seikatsu";24;1.19;A2;0
"Atom; The Beginning";12;1.34;A1;0
"Atri; My Dear Moments BD";13;7.32;A3;0
"Aura; Maryuuin Kouga Saigo no Tatakai BD (Movie)";1;0.59;A1;0
"Avatar; The Legend of Aang Season 1 BD";20;8.07;A1;0
"Avatar; The Legend of Aang Season 2 BD";18;7.68;A1;0
"Avatar; The Legend of Aang Season 3 BD";16;7.93;A1;0
"Avatar; The Legend of Korra Season 1";10;1.1;A1;0
"Avatar; The Legend of Korra Season 2";12;1.5;A1;0
"Avatar; The Legend of Korra Season 3";12;1.65;A1;0
"Avatar; The Legend of Korra Season 4";12;2.51;A1;0
Avengers Assemble Season 1;25;2.58;A1;0
Aya to Majo BD (Special);1;3.03;A1;0
Ayaka;12;5.06;A3;0
Ayakashi;12;0.85;A1;0
Ayakashi Triangle BD;12;5.16;A3;0
Ayane-chan High Kick!;2;0.36;A1;0
Ayashi no Ceres;24;1.31;A1;0
Azumanga Daioh;26;1.96;A1;0
Azur Lane BD;12;5.64;A1;0
"Azur Lane; Bisoku Zenshin! BD";13;2.59;A1;0
"Azur Lane; Queen's Orders BD";2;0.89;A1;0
"B; The Beginning";12;1.49;A1;0
"B; The Beginning Succession";6;1.92;A1;0
Ba Ma Laizi Er Ciyuan;24;0.91;A1;0
Babanbabanban Vampire;12;2.13;A4;0
Baby Princess 3D Paradise 0 [Love] BD (OVA);1;0.28;A1;0
Baby Steps;25;6.3;A1;0
Baby Steps 2nd Season;25;4.75;A1;0
Babylon BD;12;4.74;A1;0
Baccano! BD;16;2.54;A1;0
Back Arrow;24;3.87;A1;0
"Back Street Girls; Gokudolls";10;1.3;A1;0
Bad Girl;12;4.69;A4;0
Bai Lian Cheng Shen;52;9.92;A4;0
Bai Lian Cheng Shen 2nd Season;53;12.45;A4;0
Bai Yao Pu;12;4.08;A2;0
Bai Yao Pu 2nd Season;12;3.67;A2;0
Bai Yao Pu 3rd Season;12;2.58;A2;0
Bai Yao Pu 4th Season;12;2.06;A3;0
Bai Ye Ling Long;25;1.87;A2;0
Baja no Studio BD (OVA);1;0.07;A1;0
Baka to Test to Shoukanjuu BD;15;7.55;A1;0
Baka to Test to Shoukanjuu Ni! BD;20;2.4;A1;0
Bakegyamon;51;2.16;A1;0
Bakemono no Ko BD (Movie);1;1.65;A1;0
Bakemonogatari BD;15;2.33;A1;0
Bakeneko Anzu-chan (Movie);1;1.17;A4;0
Baki;26;3.24;A1;0
"Baki; Dai Raitaisai-hen";13;3.08;A1;0
Bakugan Battle Brawlers;52;4.07;A3;0
Bakukyuu Hit! Crash B-Daman;50;2.99;A1;0
Bakuman.;25;2.97;A1;0
Bakuman. 2nd Season;25;2.96;A1;0
Bakuman. 3rd Season;25;2.07;A1;0
Bakumatsu;12;2.09;A1;0
Bakumatsu Rock;12;1.37;A1;0
"Bakumatsu; Crisis";12;1.36;A1;0
Bakuon!!;14;1.77;A1;0
Bakuretsu Tenshi;24;2.36;A1;0
Bakusou Kyoudai Let's & Go;51;7.75;A4;0
Bakusou Kyoudai Let's & Go MAX;51;4.59;A1;0
Bakusou Kyoudai Let's & Go WGP;51;10.9;A4;0
Bakuten Shoot Beyblade;51;3.78;A1;0
Bakuten Shoot Beyblade 2002;51;2.98;A1;0
Bakuten Shoot Beyblade G Revolution;51;7.4;A1;0
Bakuten!!;12;1.13;A1;0
Bakutou Sengen Daigunder;39;3.88;A1;0
Ballpark de Tsukamaete!;12;2.83;A4;0
Ballroom e Youkoso;24;3;A1;0
Bamboo Blade;26;1.18;A1;0
Banana Fish;24;4.19;A1;0
Bananya;13;0.56;A1;0
BanG Dream! 2nd Season;13;4.16;A1;0
BanG Dream! 3rd Season;13;5.18;A1;0
"BanG Dream! 5th Anniversary Animation; CiRCLE Thanks Party!";2;0.8;A1;0
BanG Dream! BD;14;4.47;A1;0
BanG Dream! Film Live 2nd Stage BD (Movie);1;4.73;A1;0
BanG Dream! Film Live BD (Movie);1;2.23;A1;0
"BanG Dream! Garupa☆Pico; Oomori";26;0.65;A1;0
BanG Dream! It's MyGO!!!!! BD;13;5.32;A1;0
BanG Dream! It's MyGO!!!!! Movie BD;2;4.71;A4;0
BanG Dream! Morfonication BD;2;1.04;A1;0
"BanG Dream! Movie; Episode of Roselia - I; Yakusoku BD (Movie)";1;2.28;A1;0
"BanG Dream! Movie; Episode of Roselia - II; Song I Am. BD (Movie)";1;2.57;A1;0
"BanG Dream! Movie; Poppin' Dream! BD (Movie)";1;1.81;A1;0
Bannou Bunka Neko-Musume;6;0.68;A1;0
Bannou Bunka Neko-Musume (1998) BD;14;2.08;A1;0
Bannou Bunka Neko-Musume DASH!;12;1.83;A1;0
Baoh Raihousha (OVA);1;0.25;A1;0
Barakamon BD;25;2.86;A1;0
Baraou no Souretsu;25;6.32;A1;0
"Bartender; Kami no Glass";12;3.07;A3;0
"Basilisk; Kouga Ninpou Chou";24;1.36;A1;0
"Basilisk; Ouka Ninpouchou";24;4.11;A1;0
Basquash!;26;1.39;A1;0
Bastard!! Ankoku no Hakaishin (ONA);13;5.31;A1;0
Bastard!! Ankoku no Hakaishin (ONA) Part 2;11;4.61;A1;0
Bastard!! Ankoku no Hakaishin Season 2;15;6.36;A3;0
"Batman; Bad Blood BD (Movie)";1;0.59;A1;0
Battery;11;0.84;A1;0
Battle Athletess Daiundoukai ReSTART!;12;3.04;A1;0
Battle Girl High School;12;2.19;A1;0
Battle of Surabaya (Movie);1;0.59;A1;0
"Battle Spirits; Shounen Gekiha Dan";50;4.42;A2;0
"Battle Spirits; Shounen Toppa Bashin";50;4.9;A2;0
"Bayonetta; Bloody Fate BD (Movie)";1;0.64;A1;0
